Provider Number,Hospital Name,Address 1,Address 2,Address 3,City,State,ZIP Code,County,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
450002,Providence Memorial Hospital,2001 N. Oregon St.,,,El Paso,TX,79902,El Paso,915-577-6011,Acute Care,Proprietary,Yes,"(31.771691253000483, -106.49985294199968)"
450005,Memorial Hermann Baptist Orange Hospital,608 Strickland Drive,,,Orange,TX,77630,Orange,409-883-9361,Acute Care,Nonprofit - Church,Yes,"(30.09942102700046, -93.76764915199965)"
450007,Peterson Regional Medical Center,551 Hill Country Drive,,,Kerrville,TX,78028,Kerr,830-896-4200,Acute Care,Nonprofit - Church,Yes,"(30.044887701000448, -99.15177382699966)"
450010,United Regional Health Care System,1600 11th St.,,,Wichita Falls,TX,76301,Wichita,940-764-3055,Acute Care,Nonprofit - Church,Yes,"(33.90291267200047, -98.50044645099968)"
450011,St Joseph Regional Health Center,2801 Franciscan Drive,,,Bryan,TX,77802,Brazos,979-776-3912,Acute Care,Nonprofit - Church,Yes,"(30.655558166000446, -96.34736305399969)"
450015,Parkland Health And Hospital System,5201 Harry Hines Blvd.,,,Dallas,TX,75235,Dallas,214-590-8000,Acute Care,Government - Hospital District or Authority,Yes,"(32.81152823000048, -96.83703823599967)"
450018,University Of Texas Medical Branch Gal,301 University Blvd.,,,Galveston,TX,77555,Galveston,409-772-1011,Acute Care,Government - State,Yes,"(29.311109555000485, -94.77554777299969)"
450021,Baylor University Medical Center,3500 Gaston Ave.,,,Dallas,TX,75246,Dallas,214-820-0111,Acute Care,Nonprofit - Church,Yes,"(32.79078733400047, -96.78053864299966)"
450023,Citizens Medical Center,2701 Hospital Drive,,,Victoria,TX,77901,Victoria,361-572-5113,Acute Care,Nonprofit - Other,Yes,"(28.812806397000486, -96.97675118699965)"
450024,University Medical Center Of El Paso,4815 Alameda Ave.,,,El Paso,TX,79905,El Paso,915-521-7602,Acute Care,Government - Hospital District or Authority,Yes,"(31.770719968000435, -106.43452111899967)"
450028,"Vhs Brownsville Hospital Company, Llc",1040 W Jefferson St.,,,Brownsville,TX,78520,Cameron,956-544-1400,Acute Care,Proprietary,Yes,"(25.91785218500047, -97.51184619599968)"
450029,Laredo Medical Center,1700 E. Saunders,,,Laredo,TX,78044,Webb,956-796-5000,Acute Care,Nonprofit - Church,Yes,"(27.53062335800047, -99.46895641199967)"
450032,Good Shepherd Medical Center Marshall,811 S. Washington,,,Marshall,TX,75670,Harrison,903-927-6712,Acute Care,Nonprofit - Church,Yes,"(32.53729202000045, -94.36783029599968)"
450033,Vhs Harlingen Hospital Company Llc,2101 Pease St.,,,Harlingen,TX,78550,Cameron,956-389-1100,Acute Care,Proprietary,Yes,"(26.174020442000483, -97.67118933999967)"
450034,Christus Hospital,2830 Calder Ave.,,,Beaumont,TX,77702,Jefferson,409-892-7171,Acute Care,Nonprofit - Church,Yes,"(30.085627275000434, -94.13118063699966)"
450035,St Joseph Medical Center,1401 St. Joseph Parkway,,,Houston,TX,77002,Harris,713-757-1000,Acute Care,Government - Federal,Yes,"(29.747805361000474, -95.36622659999966)"
450037,Good Shepherd Medical Center,700 E. Marshall Ave.,,,Longview,TX,75601,Gregg,903-315-2000,Acute Care,Nonprofit - Church,Yes,"(32.50147763600046, -94.73134817899967)"
450039,Jps Health Network,1500 S. Main St.,,,Fort Worth,TX,76104,Tarrant,817-921-3431,Acute Care,Government - Hospital District or Authority,Yes,"(32.72647222600045, -97.32645284799969)"
450040,Covenant Medical Center,3615 19th St.,,,Lubbock,TX,79410,Lubbock,806-725-6000,Acute Care,Nonprofit - Church,Yes,"(33.57787319400046, -101.89255068299968)"
450042,Providence Health Center,6901 Medical Parkway,,,Waco,TX,76712,McLennan,254-751-4000,Acute Care,Nonprofit - Church,Yes,"(31.513228214000435, -97.1985460899997)"
450044,UT Southwestern University Hospital,5909 Harry Hines Blvd.,,,Dallas,TX,75390,Dallas,214-879-3758,Acute Care,Government - State,Yes,"(32.81775433100046, -96.84473258599968)"
450046,Christus Spohn Hospital Corpus Christi,600 Elizabeth St.,,,Corpus Christi,TX,78404,Nueces,361-902-4103,Acute Care,Nonprofit - Church,Yes,"600 ELIZABETH STREET
CORPUS CHRISTI, TX 78404
(27.777535767000472, -97.39521913999965)"
450051,Methodist Dallas Medical Center,1441 N. Beckley Ave.,,,Dallas,TX,75203,Dallas,214-947-2879,Acute Care,Nonprofit - Other,Yes,"1441 NORTH BECKLEY AVENUE
DALLAS, TX 75203
(32.76155917500046, -96.82305272699966)"
450052,Goodall Witcher Hospital,101 Posey Ave.,,,Clifton,TX,76634,Bosque,254-675-8322,Acute Care,Government - Hospital District or Authority,Yes,"101 POSEY AVENUE
CLIFTON, TX 76634
(31.802211300000465, -97.55040619899967)"
450054,Scott & White Memorial Hospital,2401 31st St.,,,Temple,TX,76508,Bell,254-724-2111,Acute Care,Nonprofit - Church,Yes,"2401 31ST ST
TEMPLE, TX 76508
(31.077060297000457, -97.36658639599966)"
450055,Rolling Plains Memorial Hospital,200 E. Arizona,,,Sweetwater,TX,79556,Nolan,325-235-1701,Acute Care,Government - Hospital District or Authority,Yes,"200 E ARIZONA
SWEETWATER, TX 79556
(32.453868213000476, -100.39816803999969)"
450056,Seton Medical Center Austin,1201 W. 38th St.,,,Austin,TX,78705,Travis,512-324-1000,Acute Care,Nonprofit - Church,Yes,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306274603000475, -97.74556209299965)"
450058,Baptist Medical Center,111 Dallas St.,,,San Antonio,TX,78205,Bexar,210-297-1020,Acute Care,Proprietary,Yes,"111 DALLAS STREET
SAN ANTONIO, TX 78205
(29.432884646000446, -98.49282708899966)"
450064,Texas Health Arlington Memorial Hospital,800 W. Randol Mill Road,,,Arlington,TX,76012,Tarrant,817-548-6100,Acute Care,Nonprofit - Church,Yes,"800 W RANDOL MILL RD
ARLINGTON, TX 76012
(32.750092906000475, -97.11521103399969)"
450068,Memorial Hermann Texas Medical Center,6411 Fannin,,,Houston,TX,77030,Harris,713-704-3700,Acute Care,Nonprofit - Church,Yes,"6411 FANNIN
HOUSTON, TX 77030
(29.714854132000482, -95.39671805399968)"
450072,Brazosport Regional Health System,100 Medical Drive,,,Lake Jackson,TX,77566,Brazoria,979-297-4411,Acute Care,Nonprofit - Church,Yes,"100 MEDICAL DRIVE
LAKE JACKSON, TX 77566
(29.03191861200048, -95.4521614359997)"
450073,Cogdell Memorial Hospital,1700 Cogdell Blvd.,,,Snyder,TX,79549,Scurry,325-574-7437,Acute Care,Government - Hospital District or Authority,Yes,"1700 COGDELL BLVD
SNYDER, TX 79549
(32.68847800000049, -100.9171367189997)"
450076,"University Of Texas M D Anderson Cancer Center,The",1515 Holcombe Blvd.,,,Houston,TX,77030,Harris,713-792-2121,Acute Care,Government - State,Yes,"1515 HOLCOMBE BLVD
HOUSTON, TX 77030
(29.706352887000435, -95.39693895799968)"
450078,Anson General Hospital,101 AVE. J,,,Anson,TX,79501,Jones,325-823-3231,Acute Care,Nonprofit - Other,Yes,"101 AVENUE J
ANSON, TX 79501
(32.76742223100047, -99.89548544199965)"
450079,Baylor Medical Center At Irving,1901 N. MacArthur Blvd.,,,Irving,TX,75061,Dallas,972-579-8100,Acute Care,Proprietary,Yes,"1901 N MACARTHUR BLVD
IRVING, TX 75061
(32.834260602000484, -96.95925271999965)"
450080,Titus Regional Medical Center,2001 N. Jefferson,,,Mount Pleasant,TX,75455,Titus,903-577-6000,Acute Care,Government - Hospital District or Authority,Yes,"2001 N JEFFERSON
MOUNT PLEASANT, TX 75455
(33.17582892200045, -94.97047391199965)"
450082,Christus Spohn Hospital Beeville,1500 E. Houston Highway,,,Beeville,TX,78102,Bee,361-354-2000,Acute Care,Nonprofit - Church,Yes,"1500 E HOUSTON HWY
BEEVILLE, TX 78102
(28.40794559900047, -97.7326875609997)"
450083,East Texas Medical Center,1000 S. Beckham St.,,,Tyler,TX,75701,Smith,903-597-0351,Acute Care,Government - Local,Yes,"1000 SOUTH BECKHAM STREET
TYLER, TX 75701
(32.33848393100044, -95.29189685099965)"
450085,Graham Regional Medical Center,1301 Montgomery Road,,,Graham,TX,76450,Young,940-549-3400,Acute Care,Government - Local,Yes,"1301 MONTGOMERY ROAD
GRAHAM, TX 76450
(33.08987958600045, -98.58576011499969)"
450087,North Hills Hospital,4401 Booth Calloway Road,,,North Richland Hills,TX,76180,Tarrant,817-255-1000,Acute Care,Proprietary,Yes,"4401 BOOTH CALLOWAY ROAD
NORTH RICHLAND HILLS, TX 76180
(32.82889048900046, -97.21224378799968)"
450090,North Texas Medical Center,1900 Hospital Blvd.,,,Gainesville,TX,76240,Cooke,940-612-8600,Acute Care,Government - Hospital District or Authority,Yes,"1900 HOSPITAL BLVD
GAINESVILLE, TX 76240
(33.64615093200047, -97.16250571099965)"
450092,Fort Duncan Medical Center,3333 N. Foster Maldonado Blvd.,,,Eagle Pass,TX,78852,Maverick,830-773-5321,Acute Care,Proprietary,Yes,"3333 N FOSTER MALDONADO BLVD
EAGLE PASS, TX 78852
(28.70944556200044, -100.45392437099969)"
450097,Bayshore Medical Center,4000 Spencer Highway,,,Pasadena,TX,77504,Harris,713-359-1000,Acute Care,Proprietary,Yes,"4000 SPENCER HWY
PASADENA, TX 77504
(29.66515698900048, -95.18371238199967)"
450099,Pampa Regional Medical Center,1 Medical Plaza,,,Pampa,TX,79065,Gray,806-665-3721,Acute Care,Proprietary,Yes,"1 MEDICAL PLAZA
PAMPA, TX 79065
(35.57211432700046, -100.96348470099969)"
450101,Hillcrest Baptist Medical Center,100 Hillcrest Medical Blvd.,,,Waco,TX,76712,McLennan,254-202-2000,Acute Care,Nonprofit - Church,Yes,"100 HILLCREST MEDICAL BLVD
WACO, TX 76712
(31.489150708000466, -97.15696089499966)"
450102,Mother Frances Hospital,800 E. Dawson,,,Tyler,TX,75701,Smith,903-593-8441,Acute Care,Nonprofit - Church,Yes,"800 EAST DAWSON
TYLER, TX 75701
(32.34216567100049, -95.29195701399965)"
450104,Guadalupe Regional Medical Center,1215 E. Court St.,,,Seguin,TX,78155,Guadalupe,830-379-2411,Acute Care,Government - Local,Yes,"1215 E COURT ST
SEGUIN, TX 78155
(29.569053085000462, -97.9477502799997)"
450107,Las Palmas Medical Center,1801 N. Oregon St.,,,El Paso,TX,79902,El Paso,915-521-1200,Acute Care,Proprietary,Yes,"1801 NORTH OREGON STREET
EL PASO, TX 79902
(31.77003071100046, -106.49841269899969)"
450108,Connally Memorial Medical Center,499 10th St.,,,Floresville,TX,78114,Wilson,830-393-1300,Acute Care,Government - Hospital District or Authority,Yes,"499 10TH STREET
FLORESVILLE, TX 78114
(29.15957012500047, -98.17340903599967)"
450119,South Texas Health System,1102 W. Trenton Road,,,Edinburg,TX,78539,Hidalgo,956-632-4000,Acute Care,Proprietary,Yes,"1102 W TRENTON ROAD
EDINBURG, TX 78539
(26.26306279500045, -98.18136440599966)"
450124,University Medical Center At Brackenridge,601 E. 15th St.,,,Austin,TX,78701,Travis,512-324-7000,Acute Care,Nonprofit - Church,Yes,"601 E 15TH STREET
AUSTIN, TX 78701
(30.275163717000453, -97.73335793599966)"
450128,Knapp Medical Center,1401 E. Eighth St.,,,Weslaco,TX,78596,Hidalgo,956-968-8567,Acute Care,Nonprofit - Church,Yes,"1401 EAST EIGHT STREET
WESLACO, TX 78596
(26.15193250000044, -97.97634874799968)"
450130,Nix Health Care System,"414 Navarro, Suite 600",,,San Antonio,TX,78205,Bexar,210-271-2188,Acute Care,Proprietary,Yes,"414 NAVARRO, SUITE 600
SAN ANTONIO, TX 78205
(29.425128266000456, -98.48965736099967)"
450132,Medical Center Hospital,500 W. 4th St.,,,Odessa,TX,79761,Ector,432-640-4000,Acute Care,Government - Hospital District or Authority,No,"500 W 4TH STREET
ODESSA, TX 79761
(31.84994519300045, -102.36411742699966)"
450133,Midland Memorial Hospital,400 Rosalind Redfern Grover Parkway,,,Midland,TX,79701,Midland,432-685-1111,Acute Care,Government - Hospital District or Authority,Yes,"400 ROSALIND REDFERN GROVER PARKWAY
MIDLAND, TX 79701
(31.996541671000443, -102.08318980099966)"
450135,Texas Health Harris Methodist Fort Worth,1301 Pennsylvania Ave.,,,Fort Worth,TX,76104,Tarrant,817-250-2100,Acute Care,Nonprofit - Church,Yes,"1301 PENNSYLVANIA AVENUE
FORT WORTH, TX 76104
(32.73843357800047, -97.3393107979997)"
450137,Baylor All Saints Medical Center At Fw,1400 Eighth Ave.,,,Fort Worth,TX,76104,Tarrant,817-926-2544,Acute Care,Nonprofit - Church,Yes,"1400 EIGHTH AVE
FORT WORTH, TX 76104
(32.73043999800046, -97.3437831279997)"
450143,Seton Smithville Regional Hospital,800 E. Highway 71,,,Smithville,TX,78957,Bastrop,512-237-3214,Acute Care,Nonprofit - Church,Yes,"800 EAST HIGHWAY 71
SMITHVILLE, TX 78957
(29.948611602000483, -97.07995891699966)"
450144,Permian Regional Medical Center Andrews County Ho,720 Hospital Drive,,,Andrews,TX,79714,Andrews,432-523-2200,Acute Care,Government - Hospital District or Authority,Yes,"720 HOSPITAL DRIVE
ANDREWS, TX 79714
(32.33708692300047, -102.5461718359997)"
450147,Detar Hospital Navarro,506 E. San Antonio St.,,,Victoria,TX,77902,Victoria,361-575-7441,Acute Care,Proprietary,Yes,"506 E SAN ANTONIO ST
VICTORIA, TX 77902
(28.807605655000486, -96.99848391899968)"
450148,Texas Health Harris Methodist Hospital Cleburne,201 Walls Drive,,,Cleburne,TX,76033,Johnson,817-641-2551,Acute Care,Nonprofit - Church,Yes,"201 WALLS DRIVE
CLEBURNE, TX 76033
(32.33106601500049, -97.43765403399965)"
450152,Metroplex Hospital,2201 S. Clear Creek Road,,,Killeen,TX,76542,Bell,254-526-7523,Acute Care,Nonprofit - Church,Yes,"2201 S CLEAR CREEK ROAD
KILLEEN, TX 76542
(31.112461921000488, -97.79993004499966)"
450154,Val Verde Regional Medical Center,801 Bedell Ave.,,,Del Rio,TX,78840,Val Verde,830-775-8566,Acute Care,Government - Hospital District or Authority,Yes,"801 BEDELL AVE
DEL RIO, TX 78840
(29.37499328400048, -100.89362680399967)"
450155,Hereford Regional Medical Center,801 E. Third,,,Hereford,TX,79045,Deaf Smith,806-364-2141,Acute Care,Government - Hospital District or Authority,Yes,"801 EAST THIRD
HEREFORD, TX 79045
(34.82073573500048, -102.39119302899968)"
450162,Grace Medical Center,2412 50th St.,,,Lubbock,TX,79412,Lubbock,806-788-4100,Acute Care,Proprietary,Yes,"2412 50TH ST
LUBBOCK, TX 79412
(33.548807783000484, -101.87010019999968)"
450163,Christus Spohn Hospital Kleberg,1311 E. General Cavazos Blvd.,,,Kingsville,TX,78363,Kleberg,361-595-1661,Acute Care,Nonprofit - Church,Yes,"1311 EAST GENERAL CAVAZOS BLVD
KINGSVILLE, TX 78363
(27.491443560000448, -97.85040010499966)"
450165,South Texas Regional Medical Center,1905 Highway 97 East,,,Jourdanton,TX,78026,Atascosa,830-769-3515,Acute Care,Proprietary,Yes,"1905 HWY 97 EAST
JOURDANTON, TX 78026
(28.931356646000438, -98.5260969519997)"
450176,Mission Regional Medical Center,900 S. Bryan Road,,,Mission,TX,78572,Hidalgo,956-323-9000,Acute Care,Nonprofit - Church,Yes,"900 SOUTH BRYAN ROAD
MISSION, TX 78572
(26.196397118000448, -98.31274029799965)"
450177,Uvalde Memorial Hospital,1025 Garner Field Road,,,Uvalde,TX,78801,Uvalde,830-278-6251,Acute Care,Government - Hospital District or Authority,Yes,"1025 GARNER FIELD ROAD
UVALDE, TX 78801
(29.21514294500048, -99.76852128399969)"
450178,Pecos County Memorial Hospital,387 W. Interstate 10,,,Fort Stockton,TX,79735,Pecos,432-336-4201,Acute Care,Government - Local,Yes,"387 WEST I 10
FORT STOCKTON, TX 79735
(30.892351841000448, -102.26636752199965)"
450184,Memorial Hermann Hospital System,1635 North Loop West,,,Houston,TX,77008,Harris,713-448-6796,Acute Care,Nonprofit - Church,Yes,"1635 NORTH LOOP WEST
HOUSTON, TX 77008
(29.81224316200047, -95.43058859999968)"
450187,Scott & White Hospital Brenham,700 Medical Parkway,,,Brenham,TX,77833,Washington,979-836-6173,Acute Care,Nonprofit - Church,Yes,"700 MEDICAL PARKWAY
BRENHAM, TX 77833
(30.145335848000457, -96.39907674399967)"
450188,Etmc Clarksville,3000 W. Main St.,,,Clarksville,TX,75426,Red River,903-427-3851,Acute Care,Nonprofit - Other,Yes,"3000 W MAIN ST
CLARKSVILLE, TX 75426
(33.61115273200045, -95.04896668199967)"
450192,Hill Regional Hospital,101 Circle Drive,,,Hillsboro,TX,76645,Hill,254-580-8500,Acute Care,Nonprofit - Church,Yes,"101 CIRCLE DRIVE
HILLSBORO, TX 76645
(32.012306425000475, -97.0994275919997)"
450193,St Lukes Episcopal Hospital,6720 Bertner,,,Houston,TX,77030,Harris,832-355-1000,Acute Care,Nonprofit - Church,Yes,"6720 BERTNER
HOUSTON, TX 77030
(29.70839968000047, -95.39916400699968)"
450194,East Texas Medical Center Jacksonville,501 S. Ragsdale,,,Jacksonville,TX,75766,Cherokee,903-541-5000,Acute Care,Nonprofit - Church,Yes,"501 S RAGSDALE
JACKSONVILLE, TX 75766
(31.960945688000436, -95.27033798699966)"
450196,Paris Regional Medical Center,820 Clarksville St.,,,Paris,TX,75460,Lamar,903-785-4521,Acute Care,Proprietary,Yes,"820 CLARKSVILLE ST
PARIS, TX 75460
(33.66044312200046, -95.54808321199965)"
450200,Wadley Regional Medical Center,1000 Pine St.,,,Texarkana,TX,75501,Bowie,903-798-8000,Acute Care,Proprietary,Yes,"1000 PINE STREET
TEXARKANA, TX 75501
(33.42760624200048, -94.04667523399968)"
450203,Weatherford Regional Medical Center,713 E. Anderson St.,,,Weatherford,TX,76086,Parker,817-599-1190,Acute Care,Proprietary,Yes,"713 E ANDERSON ST
WEATHERFORD, TX 76086
(32.74753921100046, -97.78684751699967)"
450209,Northwest Texas Hospital,1501 Coulter Road,,,Amarillo,TX,79106,Potter,806-354-1110,Acute Care,Proprietary,Yes,"1501 COULTER ROAD
AMARILLO, TX 79106
(35.185893878000456, -101.92037962399968)"
450210,Etmc Carthage,409 W. Cottage,,,Carthage,TX,75633,Panola,936-933-3841,Acute Care,Nonprofit - Church,Yes,"409 WEST COTTAGE
CARTHAGE, TX 75633
(32.143793908000475, -94.33337716199969)"
450211,Memorial Medical Center Of East Texas,1201 W. Frank St.,,,Lufkin,TX,75901,Angelina,936-634-8111,Acute Care,Nonprofit - Church,Yes,"1201 WEST FRANK STREET
LUFKIN, TX 75901
(31.325333912000474, -94.68526612199969)"
450213,University Health System,4502 Medical Drive,,,San Antonio,TX,78229,Bexar,210-358-4000,Acute Care,Government - Hospital District or Authority,Yes,"4502 MEDICAL DR
SAN ANTONIO, TX 78229
(29.510074227000473, -98.57945748799966)"
450214,Gulf Coast Medical Center,10141 U.S. Highway 59 North,,,Wharton,TX,77488,Wharton,979-532-2500,Acute Care,Proprietary,Yes,"10141 US 59 NORTH
WHARTON, TX 77488
(29.325922837000462, -96.12076792499965)"
450219,Scott & White Hospital-Llano,200 W. Ollie,,,Llano,TX,78643,Llano,325-247-5040,Acute Care,Nonprofit - Church,Yes,"200 W OLLIE
LLANO, TX 78643
(30.743282645000477, -98.67767109699969)"
450221,Moore County Hospital District,224 E. Second St.,,,Dumas,TX,79029,Moore,806-935-7171,Acute Care,Government - Hospital District or Authority,Yes,"224 E SECOND STREET
DUMAS, TX 79029
(35.86427041300044, -101.97030118399965)"
450222,Conroe Regional Medical Center,504 Medical Center Blvd.,,,Conroe,TX,77304,Montgomery,936-539-1111,Acute Care,Proprietary,Yes,"504 MEDICAL CENTER BLVD
CONROE, TX 77304
(30.28451513200048, -95.46626886099966)"
450229,Hendrick Medical Center,1900 Pine,,,Abilene,TX,79601,Taylor,325-670-2000,Acute Care,Nonprofit - Church,Yes,"1900 PINE
ABILENE, TX 79601
(32.47147132900045, -99.73114769599965)"
450231,Baptist St Anthony's Hospital,1600 Wallace Blvd.,,,Amarillo,TX,79106,Potter,806-212-2000,Acute Care,Government - Federal,Yes,"1600 WALLACE BLVD
AMARILLO, TX 79106
(35.19498783600045, -101.91922595399967)"
450235,Memorial Hospital,1110 N. Sarah Dewitt Drive,,,Gonzales,TX,78629,Gonzales,830-672-7581,Acute Care,Government - Hospital District or Authority,Yes,"1110 NORTH SARAH DEWITT DRIVE
GONZALES, TX 78629
(29.516863760000433, -97.4299158229997)"
450236,Hopkins County Memorial Hospital,115 Airport Road,,,Sulphur Springs,TX,75482,Hopkins,903-885-7671,Acute Care,Government - Hospital District or Authority,Yes,"115 AIRPORT RD
SULPHUR SPRINGS, TX 75482
(33.15631452800045, -95.60012823899967)"
450237,Christus Santa Rosa Hospital,2827 Babcock Road,,,San Antonio,TX,78229,Bexar,210-704-2011,Acute Care,Nonprofit - Church,Yes,"2827 BABCOCK ROAD
SAN ANTONIO, TX 78229
(29.512315130000445, -98.59152898999969)"
450241,Faith Community Hospital,717 Magnolia St.,,,Jacksboro,TX,76458,Jack,940-567-6633,Acute Care,Government - Hospital District or Authority,Yes,"717 MAGNOLIA ST
JACKSBORO, TX 76458
(33.22600854100045, -98.16922321399966)"
450243,Hamlin Memorial Hospital,632 NW. Second St.,,,Hamlin,TX,79520,Jones,325-576-3646,Acute Care,Government - Hospital District or Authority,Yes,"632 N W SECOND STREET
HAMLIN, TX 79520
(32.885165876000485, -100.13474049499968)"
450253,Bellville General Hospital,44 N. Cummings,,,Bellville,TX,77418,Austin,979-865-3141,Acute Care,Nonprofit - Church,Yes,"44 N CUMMINGS
BELLVILLE, TX 77418
(29.952073124000435, -96.26087018699968)"
450271,Wise Regional Health System,609 Medical Center Drive,,,Decatur,TX,76234,Wise,940-627-5921,Acute Care,Government - Hospital District or Authority,Yes,"609 MEDICAL CENTER DRIVE
DECATUR, TX 76234
(33.21848912800044, -97.59545252599969)"
450272,Central Texas Medical Center,1301 Wonder World Drive,,,San Marcos,TX,78666,Hays,512-753-3690,Acute Care,Nonprofit - Church,Yes,"1301 WONDER WORLD DRIVE
SAN MARCOS, TX 78666
(29.85183323600046, -97.94709174799965)"
450280,Baylor Medical Center At Garland,2300 Marie Curie Drive,,,Garland,TX,75042,Dallas,972-487-5000,Acute Care,Government - Federal,Yes,"2300 MARIE CURIE DRIVE
GARLAND, TX 75042
(32.91860832900045, -96.66228097399966)"
450289,Harris Health System,2525 Holly Hall,,,Houston,TX,77054,Harris,713-566-6417,Acute Care,Government - Local,Yes,"2525 HOLLY HALL
HOUSTON, TX 77054
(29.685401131000447, -95.39061342799965)"
450292,Texas Health Presbyterian Hospital Kaufman,850 Ed Hall,,,Kaufman,TX,75142,Kaufman,972-932-7200,Acute Care,Nonprofit - Church,Yes,"850 ED HALL
KAUFMAN, TX 75142
(32.58450347000047, -96.27498631899965)"
450293,Frio Regional Hospital,200 S. Interstate 35,,,Pearsall,TX,78061,Frio,830-334-3617,Acute Care,Nonprofit - Church,Yes,"200 S IH 35
PEARSALL, TX 78061
(28.89570242600047, -99.09937893399967)"
450296,Cleveland Regional Medical Ctr,300 E. Crockett,,,Cleveland,TX,77327,Liberty,281-593-1811,Acute Care,Proprietary,Yes,"300 E CROCKETT
CLEVELAND, TX 77327
(30.342388995000476, -95.08540823899966)"
450299,College Station Medical Center,1604 Rock Prairie Road,,,College Station,TX,77842,Brazos,979-764-5151,Acute Care,Proprietary,Yes,"1604 ROCK PRAIRIE ROAD
COLLEGE STATION, TX 77842
(30.582581340000445, -96.29126007199966)"
450306,Stamford Memorial Hospital,1601 Columbia St.,,,Stamford,TX,79553,Jones,325-773-2725,Acute Care,Government - Hospital District or Authority,Yes,"1601 COLUMBIA STREET
STAMFORD, TX 79553
(32.92832399000048, -99.78509949999966)"
450324,Texoma Medical Center,5016 S U.S. Highway 75,,,Denison,TX,75020,Grayson,903-416-4000,Acute Care,Proprietary,Yes,"5016 S US HIGHWAY 75
DENISON, TX 75020
(33.749752802000444, -96.5861682369997)"
450330,Oakbend Medical Center,1705 Jackson St.,,,Richmond,TX,77469,Fort Bend,281-341-3000,Acute Care,Government - Hospital District or Authority,Yes,"1705 JACKSON ST
RICHMOND, TX 77469
(29.577450550000435, -95.77147825299966)"
450340,San Angelo Community Medical Center,3501 Knickerbocker Road,,,San Angelo,TX,76904,Tom Green,325-949-9511,Acute Care,Proprietary,Yes,"3501 KNICKERBOCKER ROAD
SAN ANGELO, TX 76904
(31.419648015000462, -100.4706634529997)"
450346,Memorial Hermann Baptist Beaumont Hospital,3080 College St.,,,Beaumont,TX,77701,Jefferson,409-212-5012,Acute Care,Nonprofit - Church,Yes,"3080 COLLEGE STREET
BEAUMONT, TX 77701
(30.068498462000434, -94.1197409509997)"
450347,Huntsville Memorial Hospital,110 Memorial Hospital Drive,,,Huntsville,TX,77340,Walker,936-291-3411,Acute Care,Government - Hospital District or Authority,Yes,"110 MEMORIAL HOSPITAL DRIVE
HUNTSVILLE, TX 77340
(30.699033104000478, -95.55842429299969)"
450348,Falls Community Hospital And Clinic,322 Coleman St.,,,Marlin,TX,76661,Falls,254-803-3561,Acute Care,Nonprofit - Church,Yes,"322 COLEMAN STREET
MARLIN, TX 76661
(31.307455156000458, -96.89600923499967)"
450351,Texas Health Harris Methodist Hospital Stephenvill,411 N. Belknap St.,,,Stephenville,TX,76401,Erath,254-965-1500,Acute Care,Nonprofit - Church,Yes,"411 N BELKNAP ST
STEPHENVILLE, TX 76401
(32.222817457000474, -98.20456580499967)"
450352,Hunt Regional Medical Center,4215 Joe Ramsey Blvd. ,,,Greenville,TX,75401,Hunt,903-408-5000,Acute Care,Government - Hospital District or Authority,Yes,"4215 JOE RAMSEY BLVD
GREENVILLE, TX 75401
(33.12343419600046, -96.12338054599968)"
450358,"Methodist Hospital,The",6565 Fannin,,,Houston,TX,77030,Harris,713-790-2221,Acute Care,Nonprofit - Church,Yes,"6565 FANNIN
HOUSTON, TX 77030
(29.71029073100044, -95.4002913439997)"
450369,Childress Regional Medical Center,901 U.S. Highway 83 North,,,Childress,TX,79201,Childress,940-937-6371,Acute Care,Government - Hospital District or Authority,Yes,"HWY 83 NORTH
CHILDRESS, TX 79201
(34.22713244300047, -100.30250568299965)"
450370,Columbus Community Hospital,110 Shult Drive,,,Columbus,TX,78934,Colorado,979-732-2371,Acute Care,Nonprofit - Church,Yes,"110 SHULT DR
COLUMBUS, TX 78934
(29.694326900000476, -96.54255730299968)"
450372,Baylor Medical Center At Waxahachie,1405 W. Jefferson St.,,,Waxahachie,TX,75165,Ellis,972-923-7000,Acute Care,Nonprofit - Other,Yes,"1405 W JEFFERSON ST
WAXAHACHIE, TX 75165
(32.39664614200046, -96.86474631299967)"
