Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Location
450002,PROVIDENCE MEMORIAL HOSPITAL,2001 N OREGON ST,EL PASO,TX,79902,EL PASO,9155776011,Acute Care Hospitals,Proprietary,true,"2001 N OREGON ST
EL PASO, TX 79902
(31.771813, -106.499907)"
450005,MEMORIAL HERMANN BAPTIST ORANGE HOSPITAL,608 STRICKLAND DRIVE,ORANGE,TX,77630,ORANGE,4098839361,Acute Care Hospitals,Voluntary non-profit - Other,true,"608 STRICKLAND DRIVE
ORANGE, TX 77630
(30.100458, -93.768661)"
450007,PETERSON REGIONAL MEDICAL CENTER,551 HILL COUNTRY DRIVE,KERRVILLE,TX,78028,KERR,8308964200,Acute Care Hospitals,Voluntary non-profit - Private,true,"551 HILL COUNTRY DRIVE
KERRVILLE, TX 78028
(30.044733, -99.151596)"
450010,UNITED REGIONAL HEALTH CARE SYSTEM,1600 11TH STREET,WICHITA FALLS,TX,76301,WICHITA,9407643055,Acute Care Hospitals,Voluntary non-profit - Private,true,"1600 11TH STREET
WICHITA FALLS, TX 76301
(33.902109, -98.501852)"
450011,ST JOSEPH REGIONAL HEALTH CENTER,2801 FRANCISCAN DR,BRYAN,TX,77802,BRAZOS,9797763912,Acute Care Hospitals,Voluntary non-profit - Private,true,"2801 FRANCISCAN DR
BRYAN, TX 77802
(30.655598, -96.346767)"
450015,PARKLAND HEALTH AND HOSPITAL SYSTEM,5201 HARRY HINES BLVD,DALLAS,TX,75235,DALLAS,2145908000,Acute Care Hospitals,Government - Hospital District or Authority,true,"5201 HARRY HINES BLVD
DALLAS, TX 75235
(32.812034, -96.837709)"
450018,UNIVERSITY OF TEXAS MEDICAL BRANCH,301 UNIVERSITY BOULEVARD,GALVESTON,TX,77555,GALVESTON,4097721011,Acute Care Hospitals,Government - State,true,"301 UNIVERSITY BOULEVARD
GALVESTON, TX 77555
(29.31122, -94.774556)"
450021,BAYLOR UNIVERSITY MEDICAL CENTER,3500 GASTON AVE,DALLAS,TX,75246,DALLAS,2148200111,Acute Care Hospitals,Voluntary non-profit - Church,true,"3500 GASTON AVE
DALLAS, TX 75246
(32.790685, -96.780663)"
450023,CITIZENS MEDICAL CENTER,2701 HOSPITAL DRIVE,VICTORIA,TX,77901,VICTORIA,3615725113,Acute Care Hospitals,Voluntary non-profit - Other,true,"2701 HOSPITAL DRIVE
VICTORIA, TX 77901
(28.812866, -96.976723)"
450024,UNIVERSITY MEDICAL CENTER OF EL PASO,4815 ALAMEDA AVE,EL PASO,TX,79905,EL PASO,9155217602,Acute Care Hospitals,Government - Hospital District or Authority,true,"4815 ALAMEDA AVE
EL PASO, TX 79905
(31.770742, -106.434452)"
450028,"VHS BROWNSVILLE HOSPITAL COMPANY, LLC",1040 W JEFFERSON ST,BROWNSVILLE,TX,78520,CAMERON,9565441400,Acute Care Hospitals,Proprietary,true,"1040 W JEFFERSON ST
BROWNSVILLE, TX 78520
(25.916569, -97.510566)"
450029,LAREDO MEDICAL CENTER,1700 EAST SAUNDERS,LAREDO,TX,78044,WEBB,9567965000,Acute Care Hospitals,Voluntary non-profit - Church,true,"1700 EAST SAUNDERS
LAREDO, TX 78044
(27.530589, -99.479142)"
450032,GOOD SHEPHERD MEDICAL CENTER MARSHALL,811 S WASHINGTON,MARSHALL,TX,75670,HARRISON,9039276712,Acute Care Hospitals,Voluntary non-profit - Private,true,"811 S WASHINGTON
MARSHALL, TX 75670
(32.536651, -94.367868)"
450033,VHS HARLINGEN HOSPITAL COMPANY LLC,2101 PEASE ST,HARLINGEN,TX,78550,CAMERON,9563891100,Acute Care Hospitals,Proprietary,true,"2101 PEASE ST
HARLINGEN, TX 78550
(26.173893, -97.671081)"
450034,CHRISTUS HOSPITAL,2830 CALDER AVENUE,BEAUMONT,TX,77702,JEFFERSON,4098927171,Acute Care Hospitals,Voluntary non-profit - Church,true,"2830 CALDER AVENUE
BEAUMONT, TX 77702
(30.085592, -94.131263)"
450035,ST JOSEPH MEDICAL CENTER,1401 ST. JOSEPH PARKWAY,HOUSTON,TX,77002,HARRIS,7137571000,Acute Care Hospitals,Physician,true,"1401 ST. JOSEPH PARKWAY
HOUSTON, TX 77002
(29.747785, -95.366182)"
450037,GOOD SHEPHERD MEDICAL CENTER,700 EAST MARSHALL AVENUE,LONGVIEW,TX,75601,GREGG,9033152000,Acute Care Hospitals,Voluntary non-profit - Private,true,"700 EAST MARSHALL AVENUE
LONGVIEW, TX 75601
(32.501448, -94.731471)"
450039,JPS HEALTH NETWORK,1500 S MAIN ST,FORT WORTH,TX,76104,TARRANT,8179213431,Acute Care Hospitals,Government - Hospital District or Authority,true,"1500 S MAIN ST
FORT WORTH, TX 76104
(32.726764, -97.326407)"
450040,COVENANT MEDICAL CENTER,3615 19TH STREET,LUBBOCK,TX,79410,LUBBOCK,8067256000,Acute Care Hospitals,Voluntary non-profit - Church,true,"3615 19TH STREET
LUBBOCK, TX 79410
(33.577867, -101.892357)"
450042,PROVIDENCE HEALTH CENTER,6901 MEDICAL PARKWAY,WACO,TX,76712,MCLENNAN,2547514000,Acute Care Hospitals,Government - Hospital District or Authority,true,"6901 MEDICAL PARKWAY
WACO, TX 76712
(31.514649, -97.197926)"
450044,UT SOUTHWESTERN UNIVERSITY HOSPITAL ST PAUL,6201 HARRY HINES BLVD,DALLAS,TX,75390,DALLAS,2146335555,Acute Care Hospitals,Government - State,true,"6201 HARRY HINES BLVD
DALLAS, TX 75390
"
450046,CHRISTUS SPOHN HOSPITAL CORPUS CHRISTI,600 ELIZABETH STREET,CORPUS CHRISTI,TX,78404,NUECES,3619024103,Acute Care Hospitals,Voluntary non-profit - Private,true,"600 ELIZABETH STREET
CORPUS CHRISTI, TX 78404
(27.777489, -97.395121)"
450051,METHODIST DALLAS MEDICAL CENTER,1441 NORTH BECKLEY AVENUE,DALLAS,TX,75203,DALLAS,2149472879,Acute Care Hospitals,Voluntary non-profit - Other,true,"1441 NORTH BECKLEY AVENUE
DALLAS, TX 75203
(32.761639, -96.823006)"
450052,GOODALL WITCHER HOSPITAL,101 POSEY AVENUE,CLIFTON,TX,76634,BOSQUE,2546758322,Acute Care Hospitals,Government - Hospital District or Authority,true,"101 POSEY AVENUE
CLIFTON, TX 76634
"
450054,SCOTT & WHITE MEMORIAL HOSPITAL,2401 31ST ST,TEMPLE,TX,76508,BELL,2547242111,Acute Care Hospitals,Voluntary non-profit - Private,true,"2401 31ST ST
TEMPLE, TX 76508
(31.078693, -97.365938)"
450055,ROLLING PLAINS MEMORIAL HOSPITAL,200 E ARIZONA,SWEETWATER,TX,79556,NOLAN,3252351701,Acute Care Hospitals,Government - Hospital District or Authority,true,"200 E ARIZONA
SWEETWATER, TX 79556
(32.453882, -100.398314)"
450056,SETON MEDICAL CENTER AUSTIN,1201 W 38TH ST,AUSTIN,TX,78705,TRAVIS,5123241000,Acute Care Hospitals,Voluntary non-profit - Private,true,"1201 W 38TH ST
AUSTIN, TX 78705
(30.306075, -97.745038)"
450058,BAPTIST MEDICAL CENTER,111 DALLAS STREET,SAN ANTONIO,TX,78205,BEXAR,2102971020,Acute Care Hospitals,Proprietary,true,"111 DALLAS STREET
SAN ANTONIO, TX 78205
(29.433174, -98.492305)"
450064,TEXAS HEALTH ARLINGTON MEMORIAL HOSPITAL,800 W RANDOL MILL RD,ARLINGTON,TX,76012,TARRANT,8175486100,Acute Care Hospitals,Voluntary non-profit - Private,true,"800 W RANDOL MILL RD
ARLINGTON, TX 76012
(32.750113, -97.114916)"
450068,MEMORIAL HERMANN TEXAS MEDICAL CENTER,6411 FANNIN,HOUSTON,TX,77030,HARRIS,7137043700,Acute Care Hospitals,Voluntary non-profit - Private,true,"6411 FANNIN
HOUSTON, TX 77030
(29.713791, -95.397547)"
450072,BRAZOSPORT REGIONAL HEALTH SYSTEM,100 MEDICAL DRIVE,LAKE JACKSON,TX,77566,BRAZORIA,9792974411,Acute Care Hospitals,Voluntary non-profit - Private,true,"100 MEDICAL DRIVE
LAKE JACKSON, TX 77566
(29.031022, -95.451843)"
450073,COGDELL MEMORIAL HOSPITAL,1700 COGDELL BLVD,SNYDER,TX,79549,SCURRY,3255747437,Acute Care Hospitals,Government - Hospital District or Authority,true,"1700 COGDELL BLVD
SNYDER, TX 79549
(32.688484, -100.915039)"
450078,ANSON GENERAL HOSPITAL,101 AVENUE J,ANSON,TX,79501,JONES,3258233231,Acute Care Hospitals,Government - Local,true,"101 AVENUE J
ANSON, TX 79501
(32.767506, -99.895515)"
450079,BAYLOR MEDICAL CENTER AT IRVING,1901 N MACARTHUR BLVD,IRVING,TX,75061,DALLAS,9725798100,Acute Care Hospitals,Voluntary non-profit - Private,true,"1901 N MACARTHUR BLVD
IRVING, TX 75061
(32.834578, -96.959215)"
450080,TITUS REGIONAL MEDICAL CENTER,2001 N JEFFERSON,MOUNT PLEASANT,TX,75455,TITUS,9035776000,Acute Care Hospitals,Government - Hospital District or Authority,true,"2001 N JEFFERSON
MOUNT PLEASANT, TX 75455
(33.175273, -94.97043)"
450082,CHRISTUS SPOHN HOSPITAL BEEVILLE,1500 E HOUSTON HWY,BEEVILLE,TX,78102,BEE,3613542000,Acute Care Hospitals,Voluntary non-profit - Church,true,"1500 E HOUSTON HWY
BEEVILLE, TX 78102
(28.408247, -97.732159)"
450083,EAST TEXAS MEDICAL CENTER,1000 SOUTH BECKHAM STREET,TYLER,TX,75701,SMITH,9035970351,Acute Care Hospitals,Government - Local,true,"1000 SOUTH BECKHAM STREET
TYLER, TX 75701
(32.338102, -95.291862)"
450085,GRAHAM REGIONAL MEDICAL CENTER,1301 MONTGOMERY ROAD,GRAHAM,TX,76450,YOUNG,9405493400,Acute Care Hospitals,Government - Local,true,"1301 MONTGOMERY ROAD
GRAHAM, TX 76450
(33.089869, -98.584909)"
450087,NORTH HILLS HOSPITAL,4401 BOOTH CALLOWAY ROAD,NORTH RICHLAND HILLS,TX,76180,TARRANT,8172551000,Acute Care Hospitals,Proprietary,true,"4401 BOOTH CALLOWAY ROAD
NORTH RICHLAND HILLS, TX 76180
(32.829303, -97.212235)"
450090,NORTH TEXAS MEDICAL CENTER,1900 HOSPITAL BLVD,GAINESVILLE,TX,76240,COOKE,9406128600,Acute Care Hospitals,Government - Hospital District or Authority,true,"1900 HOSPITAL BLVD
GAINESVILLE, TX 76240
(33.645361, -97.162143)"
450092,FORT DUNCAN MEDICAL CENTER,3333 N FOSTER MALDONADO BLVD,EAGLE PASS,TX,78852,MAVERICK,8307735321,Acute Care Hospitals,Proprietary,true,"3333 N FOSTER MALDONADO BLVD
EAGLE PASS, TX 78852
(28.711418, -100.454105)"
450097,BAYSHORE MEDICAL CENTER,4000 SPENCER HWY,PASADENA,TX,77504,HARRIS,7133591000,Acute Care Hospitals,Proprietary,true,"4000 SPENCER HWY
PASADENA, TX 77504
(29.665195, -95.181617)"
450099,PAMPA REGIONAL MEDICAL CENTER,1 MEDICAL PLAZA,PAMPA,TX,79065,GRAY,8066653721,Acute Care Hospitals,Proprietary,true,"1 MEDICAL PLAZA
PAMPA, TX 79065
"
450101,HILLCREST BAPTIST MEDICAL CENTER,100 HILLCREST MEDICAL BLVD,WACO,TX,76712,MCLENNAN,2542022000,Acute Care Hospitals,Voluntary non-profit - Private,true,"100 HILLCREST MEDICAL BLVD
WACO, TX 76712
(31.489272, -97.156788)"
450102,MOTHER FRANCES HOSPITAL,800 EAST DAWSON,TYLER,TX,75701,SMITH,9035938441,Acute Care Hospitals,Voluntary non-profit - Church,true,"800 EAST DAWSON
TYLER, TX 75701
(32.342265, -95.292285)"
450104,GUADALUPE REGIONAL MEDICAL CENTER,1215 E COURT ST,SEGUIN,TX,78155,GUADALUPE,8303792411,Acute Care Hospitals,Government - Local,true,"1215 E COURT ST
SEGUIN, TX 78155
(29.569035, -97.948297)"
450107,LAS PALMAS MEDICAL CENTER,1801 NORTH OREGON STREET,EL PASO,TX,79902,EL PASO,9155211200,Acute Care Hospitals,Proprietary,true,"1801 NORTH OREGON STREET
EL PASO, TX 79902
(31.770257, -106.498544)"
450108,CONNALLY MEMORIAL MEDICAL CENTER,499 10TH STREET,FLORESVILLE,TX,78114,WILSON,8303931300,Acute Care Hospitals,Government - Hospital District or Authority,true,"499 10TH STREET
FLORESVILLE, TX 78114
(29.158608, -98.172361)"
450119,SOUTH TEXAS HEALTH SYSTEM,1102 W TRENTON ROAD,EDINBURG,TX,78539,HIDALGO,9566324000,Acute Care Hospitals,Proprietary,true,"1102 W TRENTON ROAD
EDINBURG, TX 78539
(26.262556, -98.177336)"
450124,UNIVERSITY MEDICAL CENTER AT BRACKENRIDGE,601 E 15TH STREET,AUSTIN,TX,78701,TRAVIS,5123247000,Acute Care Hospitals,Voluntary non-profit - Private,true,"601 E 15TH STREET
AUSTIN, TX 78701
(30.274993, -97.732749)"
450128,KNAPP MEDICAL CENTER,1401 EAST EIGHT STREET,WESLACO,TX,78596,HIDALGO,9569688567,Acute Care Hospitals,Voluntary non-profit - Private,true,"1401 EAST EIGHT STREET
WESLACO, TX 78596
"
450130,NIX HEALTH CARE SYSTEM,"414 NAVARRO, SUITE 600",SAN ANTONIO,TX,78205,BEXAR,2102712188,Acute Care Hospitals,Proprietary,true,"414 NAVARRO, SUITE 600
SAN ANTONIO, TX 78205
(29.425383, -98.489706)"
450132,MEDICAL CENTER HOSPITAL,500 W 4TH STREET,ODESSA,TX,79761,ECTOR,4326404000,Acute Care Hospitals,Government - Hospital District or Authority,true,"500 W 4TH STREET
ODESSA, TX 79761
(31.844698, -102.374336)"
450133,MIDLAND MEMORIAL HOSPITAL,400 ROSALIND REDFERN GROVER PARKWAY,MIDLAND,TX,79701,MIDLAND,4326851111,Acute Care Hospitals,Government - Hospital District or Authority,true,"400 ROSALIND REDFERN GROVER PARKWAY
MIDLAND, TX 79701
(31.997585, -102.100006)"
450135,TEXAS HEALTH HARRIS METHODIST FORT WORTH,1301 PENNSYLVANIA AVENUE,FORT WORTH,TX,76104,TARRANT,8172502100,Acute Care Hospitals,Voluntary non-profit - Church,true,"1301 PENNSYLVANIA AVENUE
FORT WORTH, TX 76104
(32.73848, -97.339313)"
450137,BAYLOR SCOTT AND WHITE ALL SAINTS MEDICAL CENTER,1400 EIGHTH AVE,FORT WORTH,TX,76104,TARRANT,8179262544,Acute Care Hospitals,Voluntary non-profit - Private,true,"1400 EIGHTH AVE
FORT WORTH, TX 76104
(32.730288, -97.34373)"
450143,SETON SMITHVILLE REGIONAL HOSPITAL,800 EAST HIGHWAY 71,SMITHVILLE,TX,78957,BASTROP,5122373214,Acute Care Hospitals,Voluntary non-profit - Private,true,"800 EAST HIGHWAY 71
SMITHVILLE, TX 78957
(29.974448, -97.105872)"
450144,PERMIAN REGIONAL MEDICAL CENTER ANDREWS COUNTY HO,720 HOSPITAL DRIVE,ANDREWS,TX,79714,ANDREWS,4325232200,Acute Care Hospitals,Government - Hospital District or Authority,true,"720 HOSPITAL DRIVE
ANDREWS, TX 79714
(32.337144, -102.546362)"
450147,DETAR HOSPITAL NAVARRO,506 E SAN ANTONIO ST,VICTORIA,TX,77902,VICTORIA,3615757441,Acute Care Hospitals,Proprietary,true,"506 E SAN ANTONIO ST
VICTORIA, TX 77902
(28.807595, -96.99946)"
450148,TEXAS HEALTH HARRIS METHODIST HOSPITAL CLEBURNE,201 WALLS DRIVE,CLEBURNE,TX,76033,JOHNSON,8176412551,Acute Care Hospitals,Voluntary non-profit - Church,true,"201 WALLS DRIVE
CLEBURNE, TX 76033
(32.332874, -97.438798)"
450152,METROPLEX HOSPITAL,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,2545267523,Acute Care Hospitals,Voluntary non-profit - Private,true,"2201 S CLEAR CREEK ROAD
KILLEEN, TX 76542
(31.112873, -97.799705)"
450154,VAL VERDE REGIONAL MEDICAL CENTER,801 BEDELL AVE,DEL RIO,TX,78840,VAL VERDE,8307758566,Acute Care Hospitals,Government - Hospital District or Authority,true,"801 BEDELL AVE
DEL RIO, TX 78840
(29.374519, -100.89314)"
450155,HEREFORD REGIONAL MEDICAL CENTER,801 EAST THIRD,HEREFORD,TX,79045,DEAF SMITH,8063642141,Acute Care Hospitals,Government - Hospital District or Authority,true,"801 EAST THIRD
HEREFORD, TX 79045
(34.820348, -102.391915)"
450162,GRACE MEDICAL CENTER,2412 50TH ST,LUBBOCK,TX,79412,LUBBOCK,8067884100,Acute Care Hospitals,Proprietary,true,"2412 50TH ST
LUBBOCK, TX 79412
(33.548786, -101.869732)"
450163,CHRISTUS SPOHN HOSPITAL KLEBERG,1311 EAST GENERAL CAVAZOS BLVD,KINGSVILLE,TX,78363,KLEBERG,3615951661,Acute Care Hospitals,Voluntary non-profit - Private,true,"1311 EAST GENERAL CAVAZOS BLVD
KINGSVILLE, TX 78363
(27.491403, -97.850797)"
450165,SOUTH TEXAS REGIONAL MEDICAL CENTER,1905 HWY 97 EAST,JOURDANTON,TX,78026,ATASCOSA,8307693515,Acute Care Hospitals,Proprietary,true,"1905 HWY 97 EAST
JOURDANTON, TX 78026
"
450176,MISSION REGIONAL MEDICAL CENTER,900 SOUTH BRYAN ROAD,MISSION,TX,78572,HIDALGO,9563239000,Acute Care Hospitals,Voluntary non-profit - Private,true,"900 SOUTH BRYAN ROAD
MISSION, TX 78572
(26.19658, -98.312673)"
450177,UVALDE MEMORIAL HOSPITAL,1025 GARNER FIELD ROAD,UVALDE,TX,78801,UVALDE,8302786251,Acute Care Hospitals,Government - Hospital District or Authority,true,"1025 GARNER FIELD ROAD
UVALDE, TX 78801
(29.215109, -99.768688)"
450178,PECOS COUNTY MEMORIAL HOSPITAL,387 WEST I 10,FORT STOCKTON,TX,79735,PECOS,4323364201,Acute Care Hospitals,Government - Local,true,"387 WEST I 10
FORT STOCKTON, TX 79735
(30.904962, -102.875306)"
450184,MEMORIAL HERMANN HOSPITAL SYSTEM,1635  NORTH LOOP WEST,HOUSTON,TX,77008,HARRIS,7134486796,Acute Care Hospitals,Voluntary non-profit - Private,true,"1635 NORTH LOOP WEST
HOUSTON, TX 77008
(29.812283, -95.430685)"
450187,SCOTT & WHITE HOSPITAL BRENHAM,700 MEDICAL PARKWAY,BRENHAM,TX,77833,WASHINGTON,9798366173,Acute Care Hospitals,Voluntary non-profit - Private,true,"700 MEDICAL PARKWAY
BRENHAM, TX 77833
(30.145217, -96.398828)"
450192,HILL REGIONAL HOSPITAL,101 CIRCLE DRIVE,HILLSBORO,TX,76645,HILL,2545808500,Acute Care Hospitals,Voluntary non-profit - Private,true,"101 CIRCLE DRIVE
HILLSBORO, TX 76645
(32.011484, -97.099044)"
450193,CHI ST LUKE'S HEALTH BAYLOR COLLEGE OF MEDICINE ME,6720 BERTNER,HOUSTON,TX,77030,HARRIS,8323551000,Acute Care Hospitals,Voluntary non-profit - Church,true,"6720 BERTNER
HOUSTON, TX 77030
(29.708468, -95.399166)"
450194,EAST TEXAS MEDICAL CENTER JACKSONVILLE,501 S RAGSDALE,JACKSONVILLE,TX,75766,CHEROKEE,9035415000,Acute Care Hospitals,Voluntary non-profit - Private,true,"501 S RAGSDALE
JACKSONVILLE, TX 75766
(31.961418, -95.270547)"
450196,PARIS REGIONAL MEDICAL CENTER,820 CLARKSVILLE ST,PARIS,TX,75460,LAMAR,9037854521,Acute Care Hospitals,Proprietary,true,"820 CLARKSVILLE ST
PARIS, TX 75460
(33.660277, -95.546783)"
450200,WADLEY REGIONAL MEDICAL CENTER,1000 PINE STREET,TEXARKANA,TX,75501,BOWIE,9037988000,Acute Care Hospitals,Proprietary,true,"1000 PINE STREET
TEXARKANA, TX 75501
(33.428603, -94.047255)"
450203,WEATHERFORD REGIONAL MEDICAL CENTER,713 E ANDERSON ST,WEATHERFORD,TX,76086,PARKER,8175991190,Acute Care Hospitals,Proprietary,true,"713 E ANDERSON ST
WEATHERFORD, TX 76086
(32.747472, -97.785759)"
450209,NORTHWEST TEXAS HOSPITAL,1501 COULTER ROAD,AMARILLO,TX,79106,POTTER,8063541110,Acute Care Hospitals,Proprietary,true,"1501 COULTER ROAD
AMARILLO, TX 79106
(35.198606, -101.921855)"
450210,ETMC CARTHAGE,409 WEST COTTAGE,CARTHAGE,TX,75633,PANOLA,0936933841,Acute Care Hospitals,Voluntary non-profit - Private,true,"409 WEST COTTAGE
CARTHAGE, TX 75633
"
450211,MEMORIAL MEDICAL CENTER OF EAST TEXAS,1201 WEST FRANK STREET,LUFKIN,TX,75901,ANGELINA,9366348111,Acute Care Hospitals,Voluntary non-profit - Private,true,"1201 WEST FRANK STREET
LUFKIN, TX 75901
"
450213,UNIVERSITY HEALTH SYSTEM,4502 MEDICAL DR,SAN ANTONIO,TX,78229,BEXAR,2103584000,Acute Care Hospitals,Government - Hospital District or Authority,true,"4502 MEDICAL DR
SAN ANTONIO, TX 78229
(29.509532, -98.577242)"
450214,GULF COAST MEDICAL CENTER,10141 US 59 NORTH,WHARTON,TX,77488,WHARTON,9795322500,Acute Care Hospitals,Proprietary,true,"10141 US 59 NORTH
WHARTON, TX 77488
(29.328013, -96.120493)"
450219,BAYLOR SCOTT & WHITE MEDICAL CENTER - LLANO,200 W OLLIE,LLANO,TX,78643,LLANO,3252475040,Acute Care Hospitals,Voluntary non-profit - Private,true,"200 W OLLIE
LLANO, TX 78643
(30.743343, -98.677078)"
450221,MOORE COUNTY HOSPITAL DISTRICT,224 E SECOND STREET,DUMAS,TX,79029,MOORE,8069357171,Acute Care Hospitals,Government - Hospital District or Authority,true,"224 E SECOND STREET
DUMAS, TX 79029
(35.864265, -101.971058)"
450222,CONROE REGIONAL MEDICAL CENTER,504 MEDICAL CENTER BLVD,CONROE,TX,77304,MONTGOMERY,9365391111,Acute Care Hospitals,Proprietary,true,"504 MEDICAL CENTER BLVD
CONROE, TX 77304
(30.283054, -95.46936)"
450229,HENDRICK MEDICAL CENTER,1900 PINE,ABILENE,TX,79601,TAYLOR,3256702000,Acute Care Hospitals,Voluntary non-profit - Private,true,"1900 PINE
ABILENE, TX 79601
(32.471542, -99.73115)"
450231,BAPTIST ST ANTHONY'S HOSPITAL,1600 WALLACE BLVD,AMARILLO,TX,79106,POTTER,8062122000,Acute Care Hospitals,Proprietary,true,"1600 WALLACE BLVD
AMARILLO, TX 79106
(35.196243, -101.917897)"
450235,MEMORIAL HOSPITAL,1110 NORTH SARAH DEWITT DRIVE,GONZALES,TX,78629,GONZALES,8306727581,Acute Care Hospitals,Government - Hospital District or Authority,true,"1110 NORTH SARAH DEWITT DRIVE
GONZALES, TX 78629
(29.519215, -97.450983)"
450236,HOPKINS COUNTY MEMORIAL HOSPITAL,115 AIRPORT RD,SULPHUR SPRINGS,TX,75482,HOPKINS,9038857671,Acute Care Hospitals,Government - Hospital District or Authority,true,"115 AIRPORT RD
SULPHUR SPRINGS, TX 75482
(33.156216, -95.599632)"
450237,CHRISTUS SANTA ROSA HOSPITAL,333 NORTH SANTA ROSA STEET,SAN ANTONIO,TX,78207,BEXAR,2107043342,Acute Care Hospitals,Voluntary non-profit - Church,true,"333 NORTH SANTA ROSA STEET
SAN ANTONIO, TX 78207
"
450241,FAITH COMMUNITY HOSPITAL,717 MAGNOLIA ST,JACKSBORO,TX,76458,JACK,9405676633,Acute Care Hospitals,Government - Hospital District or Authority,true,"717 MAGNOLIA ST
JACKSBORO, TX 76458
(33.226023, -98.169179)"
450243,HAMLIN MEMORIAL HOSPITAL,632 N W SECOND STREET,HAMLIN,TX,79520,JONES,3255763646,Acute Care Hospitals,Government - Hospital District or Authority,true,"632 N W SECOND STREET
HAMLIN, TX 79520
(32.885162, -100.13466)"
450253,BELLVILLE GENERAL HOSPITAL,44 N CUMMINGS,BELLVILLE,TX,77418,AUSTIN,9798653141,Acute Care Hospitals,Voluntary non-profit - Private,true,"44 N CUMMINGS
BELLVILLE, TX 77418
(29.952858, -96.260414)"
450271,WISE REGIONAL HEALTH SYSTEM,609 MEDICAL CENTER DRIVE,DECATUR,TX,76234,WISE,9406275921,Acute Care Hospitals,Government - Hospital District or Authority,true,"609 MEDICAL CENTER DRIVE
DECATUR, TX 76234
(33.219793, -97.593883)"
450272,CENTRAL TEXAS MEDICAL CENTER,1301 WONDER WORLD DRIVE,SAN MARCOS,TX,78666,HAYS,5127533690,Acute Care Hospitals,Voluntary non-profit - Private,true,"1301 WONDER WORLD DRIVE
SAN MARCOS, TX 78666
(29.85143, -97.94664)"
450280,BAYLOR SCOTT & WHITE MEDICAL CENTER GARLAND,2300 MARIE CURIE DRIVE,GARLAND,TX,75042,DALLAS,9724875000,Acute Care Hospitals,Government - Federal,true,"2300 MARIE CURIE DRIVE
GARLAND, TX 75042
(32.918601, -96.661092)"
